invoice_id,invoice_date,buyer_id,buyer_name,supplier_id,supplier_name,commodity_category,volume_usd,invoice_qty,unit_of_measure,country
INV_00000000,2023-04-17,BUY_006268,Samsung Electronics,SUP_000008,BASF,Steel,13287.51,132.88,tonnes,China
INV_00000001,2023-10-06,BUY_005599,NVIDIA Corporation,SUP_000023,Global Electronics Corp,Chemicals,6371.57,63.72,tonnes,China
INV_00000002,2024-12-04,BUY_001671,Apple Inc,SUP_000019,South Steel Inc,Chemicals,14218.58,142.19,tonnes,Japan
INV_00000003,2023-04-05,BUY_001671,Apple Inc,SUP_000004,ArcelorMittal,Textiles,3765.24,376.52,units,India
INV_00000004,2023-12-08,BUY_006268,Samsung Electronics,SUP_000019,South_Steel_Inc,Steel,21573.6,215.74,tonnes,USA
INV_00000005,2024-03-28,BUY_001671,Apple Inc,SUP_000041,Global Chemicals Group,Energy,13051.37,1305.14,units,China
INV_00000006,2023-04-25,BUY_001671,Apple Inc,SUP_000011,Huntsman,Electronics,9300.61,930.06,units,USA
INV_00000007,2024-01-14,BUY_006268,Samsung Electronics,SUP_000033,Asian Energy Inc,Energy,16729.27,1672.93,units,Vietnam
INV_00000008,2023-02-12,BUY_003452,Tesla Inc,SUP_000004,ArcelorMittal,Chemicals,3707.76,37.08,tonnes,India
INV_00000009,2023-08-04,BUY_002443,Google/Alphabet,SUP_000025,North Energy Corp,Steel,16295.78,162.96,tonnes,Vietnam
INV_00000010,2024-09-27,BUY_006268,Samsung Electronics,SUP_000018,South_Electronics_Corp,Steel,11160.96,111.61,tonnes,Vietnam
INV_00000011,2023-07-01,BUY_002443,Google/Alphabet,SUP_000022,GTI,Textiles,2025.24,202.52,units,China
INV_00000012,2024-11-16,BUY_002443,Google/Alphabet,SUP_000008,BASF,Steel,15561.42,155.61,tonnes,China
INV_00000013,2023-02-09,BUY_003452,Tesla Inc,SUP_000036,Global Chemicals Industries,Textiles,78.05,7.8,units,China
INV_00000014,2023-11-09,BUY_005599,NVIDIA Corporation,SUP_000049,Global_Electronics_Ltd,Steel,9180.59,91.81,tonnes,USA
INV_00000015,2024-02-13,BUY_000316,H&M Group,SUP_000005,POSCO India,Chemicals,3551.14,35.51,tonnes,India
INV_00000016,2023-12-26,BUY_003452,Tesla Inc,SUP_000040,Asian Steel Corp,Energy,17013.21,1701.32,units,Japan
INV_00000017,2023-01-29,BUY_006268,Samsung Electronics,SUP_000019,South_Steel_Inc,Electronics,5403.35,540.34,units,USA
INV_00000018,2024-08-17,BUY_002443,Google/Alphabet,SUP_000043,Euro_Chemicals_Inc,Chemicals,6674.05,66.74,tonnes,Japan
INV_00000019,2023-12-20,BUY_005133,Microsoft Corporation,SUP_000039,Global Steel Manufacturing,Chemicals,5870.42,58.7,tonnes,USA
INV_00000020,2024-01-30,BUY_002443,Google/Alphabet,SUP_000004,ArcelorMittal,Energy,19035.11,1903.51,units,India
INV_00000021,2023-01-02,BUY_005599,NVIDIA Corporation,SUP_000040,Asian Steel Corp,Energy,16010.53,1601.05,units,Japan
INV_00000022,2024-01-08,BUY_003452,Tesla Inc,SUP_000050,Asian Chemicals Group,Textiles,2977.24,297.72,units,USA
INV_00000023,2024-09-30,BUY_000316,H&M Group,SUP_000009,Dow Chemical,Chemicals,4918.0,49.18,tonnes,USA
INV_00000024,2024-06-03,BUY_002443,Google/Alphabet,SUP_000022,Global_Textiles_Industries,Chemicals,8022.23,80.22,tonnes,USA
INV_00000025,2024-12-14,BUY_002443,Google/Alphabet,SUP_000014,Shell Germany,Chemicals,8124.45,81.24,tonnes,India
INV_00000026,2024-11-11,BUY_000316,H&M Group,SUP_000013,DyStar,Textiles,1833.85,183.39,units,USA
INV_00000027,2024-02-20,BUY_000316,H&M Group,SUP_000021,South Energy Manufacturing,Energy,13803.35,1380.34,units,China
INV_00000028,2023-08-04,BUY_003452,Tesla Inc,SUP_000044,Euro Chemicals Manufacturing,Textiles,1931.12,193.11,units,China
INV_00000029,2024-04-21,BUY_002759,Intel Corporation,SUP_000016,Exxon_Mobil,Textiles,2677.77,267.78,units,Japan
INV_00000030,2023-06-23,BUY_003452,Tesla Inc,SUP_000049,Global_Electronics_Ltd,Electronics,4783.7,478.37,units,USA
INV_00000031,2023-04-06,BUY_005599,NVIDIA Corporation,SUP_000017,Saudi Aramco,Steel,18438.66,184.39,tonnes,China
INV_00000032,2023-05-31,BUY_005133,Microsoft Corporation,SUP_000037,South Chemicals Industries,Electronics,5470.31,547.03,units,Japan
INV_00000033,2024-04-11,BUY_005599,NVIDIA Corporation,SUP_000041,GCG,Textiles,1544.18,154.42,units,Germany
INV_00000034,2024-12-14,BUY_006268,Samsung Electronics,SUP_000018,SEC,Textiles,4403.17,440.32,units,China
INV_00000035,2024-11-02,BUY_002443,Google/Alphabet,SUP_000008,BASF,Electronics,2455.98,245.6,units,China
INV_00000036,2023-08-13,BUY_002759,Intel Corporation,SUP_000039,Global_Steel_Manufacturing,Steel,14760.77,147.61,tonnes,China
INV_00000037,2023-02-21,BUY_002759,Intel Corporation,SUP_000009,Dow Chemical,Energy,3890.38,389.04,units,USA
INV_00000038,2023-05-17,BUY_003452,Tesla Inc,SUP_000041,Global Chemicals Group,Textiles,806.18,80.62,units,China
INV_00000039,2024-03-29,BUY_002443,Google/Alphabet,SUP_000038,NEL,Energy,21359.14,2135.91,units,Japan
INV_00000040,2024-07-15,BUY_002759,Intel Corporation,SUP_000037,South Chemicals Industries,Textiles,4970.32,497.03,units,Japan
INV_00000041,2023-09-23,BUY_002759,Intel Corporation,SUP_000020,Euro Electronics Ltd,Steel,20931.03,209.31,tonnes,USA
INV_00000042,2024-10-03,BUY_000316,H&M Group,SUP_000006,Nippon Steel,Steel,12114.28,121.14,tonnes,China
INV_00000043,2023-08-29,BUY_005133,Microsoft Corporation,SUP_000040,Asian_Steel_Corp,Chemicals,6528.95,65.29,tonnes,China
INV_00000044,2023-05-22,BUY_005599,NVIDIA Corporation,SUP_000011,Huntsman,Steel,9128.87,91.29,tonnes,USA
INV_00000045,2023-03-07,BUY_002759,Intel Corporation,SUP_000040,Asian_Steel_Corp,Textiles,1382.57,138.26,units,China
INV_00000046,2024-03-01,BUY_002443,Google/Alphabet,SUP_000031,Euro Electronics Inc,Electronics,2753.14,275.31,units,India
INV_00000047,2024-08-21,BUY_002443,Google/Alphabet,SUP_000041,GCG,Electronics,9408.59,940.86,units,Germany
